               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.019056,            0.011596,                   0,             0.96465,             0.94808,              0.9784,             0.85109,             0.01733,           0.0029878,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.019008,            0.011672,                   0,             0.96391,             0.94597,             0.97715,             0.83627,            0.017337,            0.002932,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.018887,            0.011515,                   0,             0.97705,             0.94323,             0.98273,             0.84514,            0.017353,           0.0032313,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.01912,            0.011539,                   0,             0.96187,             0.95482,              0.9793,             0.84547,            0.017627,           0.0029713,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.018848,            0.011375,                   0,             0.96339,             0.94476,             0.97683,             0.83768,            0.018175,           0.0030241,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.019062,            0.011569,                   0,              0.9622,              0.9509,             0.98053,             0.84096,            0.017528,           0.0030805,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.018724,            0.011413,                   0,             0.96233,             0.95434,             0.97901,             0.84745,            0.017661,           0.0032667,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.018785,            0.011517,                   0,              0.9604,             0.95326,             0.98042,             0.84171,            0.017359,           0.0032495,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.018556,            0.011481,                   0,             0.96845,             0.94711,             0.97743,             0.84784,            0.017484,            0.003257,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.018592,            0.011564,                   0,             0.97019,             0.94275,             0.97713,             0.84984,            0.017299,             0.00341,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.018512,            0.011249,                   0,               0.964,             0.94849,             0.98072,             0.84786,            0.017159,            0.003204,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.018451,            0.011441,                   0,             0.96578,             0.94808,             0.97753,             0.84853,            0.016722,           0.0029803,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.018254,            0.011224,                   0,             0.96863,              0.9476,              0.9786,             0.85051,            0.017139,           0.0034056,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.018146,            0.011093,                   0,             0.97262,             0.93935,             0.98112,             0.85808,            0.016992,           0.0034247,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.018211,            0.011274,                   0,             0.96459,             0.95536,             0.97893,             0.85417,            0.017212,           0.0030465,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.017959,            0.011047,                   0,             0.96464,             0.95342,             0.97813,             0.85695,            0.017209,           0.0030287,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.018116,            0.011323,                   0,             0.96318,             0.95148,             0.97823,             0.85642,            0.016924,           0.0032391,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.017879,            0.011164,                   0,             0.97176,              0.9442,             0.97921,             0.85607,            0.016894,           0.0030415,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.017909,            0.011188,                   0,             0.96263,             0.94995,             0.97913,             0.84788,            0.016762,            0.003045,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.01792,            0.011178,                   0,             0.96531,             0.95294,             0.97983,             0.84927,            0.016801,           0.0031451,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.017641,            0.010967,                   0,             0.96494,               0.948,             0.98012,             0.85113,             0.01678,           0.0031107,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.017818,            0.011008,                   0,             0.96781,             0.94372,             0.97771,             0.84786,            0.017064,           0.0031206,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.017743,            0.010993,                   0,             0.96827,             0.95099,             0.97769,             0.85038,            0.017226,           0.0029714,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.017615,            0.011048,                   0,             0.96234,             0.95536,             0.97973,             0.85209,            0.017108,           0.0031857,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.017487,            0.011027,                   0,              0.9668,             0.94679,             0.97905,             0.85682,             0.01711,           0.0032072,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.017261,            0.010804,                   0,             0.97001,             0.94614,             0.97895,               0.852,            0.016939,           0.0032678,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.017173,            0.010798,                   0,             0.96244,             0.95294,             0.97842,             0.85245,            0.017061,           0.0031585,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.017277,            0.010973,                   0,             0.96773,             0.94566,             0.97897,             0.85392,            0.017155,           0.0031742,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017165,            0.010833,                   0,             0.96301,             0.95002,             0.97832,             0.85619,            0.017116,           0.0031757,                   0,            0.001882,            0.001882,            0.001882
